eval_id,recipe_name,cleaned_ingredients
1,Spinach Enchilada Recipe,"tomato,lemon,cumin powder (jeera),sour,coriander (dhania) leaves,cloves garlic,virgin olive oil,jalapenos,onion,cumin seeds (jeera),salt,cheddar cheese mexican cheese,spinach bunch,cloves garlic,black peppercorns cracked,khoya (mawa),vegetable stock,flour (maida) wheat flour,red chilli powder,jalapenos black pepper,sugar,chipotle chillies peppers,corn flour tortilla wheat tortilla,soy granules"
2,Greek Style Grilled Pita Pizza Recipe,"tomato,hummus,tme leaves dried,black peppercorns pound,virgin olive oil,coriander (dhania) leaves,black olives,feta cheese,mini pita breads"
3,Burmese Samosa Soup Recipe,"spring onion greens,kashmiri red chilli powder,vegetable stock water,coriander (dhania) leaves,carrot,onion,cumin seeds (jeera),black pepper powder,turmeric powder,chana dal (bengal gram dal),green chillies,sunflower oil,arhar dal (split toor dal),dry red chillies,lemon,tamarind paste,garam masala powder,mixed sprouts,samosas,coconut milk,ginger,purple cabbage,pearl onion (sambar onion),coriander powder,cabbage (patta gobi muttaikose)"
4,Struffoli Recipe,"salt,orange,curd,sugar,vanilla,lemon,lemon,flour (maida),icing sugar,hazelnut,sunflower oil"
5,Goan Pumpkin Sabzi Recipe,"salt,parangikai pumpkin,coconut,red chilli powder,water,onion,turmeric powder,garam masala powder"
6,Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy),"cumin powder (jeera),dill leaves,asafoetida (hing),cumin seeds (jeera),black pepper powder,green chillies,salt,green chilli,spinach,mustard oil,cardamom (elaichi) podsseeds,red chilli powder,dry red chilli,curd,fennel powder,lemon,enos fruit salt soda,ginger,bay leaf (tej patta),black urad dal (split),cinnamon stick (dalchini),coriander powder,sunflower oil vadis,cloves (laung)"
7,Bengali Style Kosha Mangsho Recipe- Spicy Mutton Curry,"salt,coriander (dhania) leaves,mustard oil,cardamom (elaichi) podsseeds,red chilli powder,ginger garlic paste,curd,cinnamon stick (dalchini),mutton,cumin seeds (jeera),onion,turmeric powder,cloves (laung)"
8,Jerk Chicken With Rice And Peas Pilaf Recipe,"basmati rice,sunflower oil,bay leaf (tej patta),green peas (matar),cloves garlic,spring onion (bulb greens),chicken (thigh drumstick),lemon,tme leaves,coconut milk,barbeque sauce bottle jerk barbecue sauce,spice powder,spring onion (bulb greens) bunch"
9,Shahi Vegetable Pulao Recipe,"cashew nuts,basmati rice,salt,cardamom (elaichi) podsseeds,ghee,green chillies split,saffron strands,milk,mint leaves (pudina),cauliflower (gobi),carrot,raisins,cinnamon stick (dalchini),cumin seeds (jeera)"
10,Rava Rotti Recipe (Karnataka Style Semolina Flat Bread),"salt,curd buttermilk,green chilli,sunflower oil roast,coconut,coriander (dhania) leaves,water,carrot,onion,cumin seeds (jeera),sooji (semolina rava),gingeror,curry leaves curry leaves"
11,Karwar Style Valval Recipe (Mixed Vegetables In Coconut Milk),"green peas (matar) cubes,green beans (french beans),mustard seeds,dry red chilli,mangalorean cucumber cubes,carrot cubes,curry leaves,cumin seeds (jeera),coconut milk,coconut oil,green chillies,pointed gourd (parval),potato (aloo) cubes"
12,Chicken Rendang Recipe - Malaysian-Indonesian Chicken Stew,"stalk lemon grass tender white portion only,salt,ginger galangal,star anise,cardamom (elaichi) podsseeds,coconut,cloves cloves (laung),cloves garlic,dry red chillies,cinnamon stick (dalchini),onion,stalk lemon grass white portion only,coconut milk,chicken breasts cubes,sunflower oil"
13,Hummus Flavoured With Garlic Recipe,"salt,water,dark soy sauce,garlic head,kabuli chana (white chickpeas),parsley leaves,lemon,tahini (sesame paste)"
14,Konkani Style Pomfret Fry Recipe - South Indian Fish Fry Recipe,"salt,ginger,pomfret fish,green chilli,coconut,cardamom (elaichi) podsseeds,kokum (malabar tamarind),cloves garlic,dry red chillies,cumin seeds (jeera),turmeric powder,sunflower oil"
15,Gujarati Biraj Recipe - Saffron Flavored Sweet Lentil Rice With Dry Fruits & Coconut,"cashew nuts,basmati rice,coconut,pistachios,ghee,saffron strands,raisins,sugar,badam (almond),cardamom powder (elaichi),chana dal (bengal gram dal)"
